source,target,weight,shared_events
55,4682,0.1429,1
343,395,0.1429,1
303,3973,0.1429,1
2820,4363,0.1429,1
5645,426,0.1429,1
1240,329,0.1429,1
3592,426,0.1429,1
1265,1427,0.1429,1
1038,960,0.1429,1
26,1683,0.1429,1
26,51,0.1429,1
70,303,0.1429,1
72,622,0.1429,1
1632,1787,0.1429,1
613,991,0.1429,1
531,134,0.1429,1
531,1427,0.1429,1
531,329,0.1429,1
4682,991,0.1429,1
4682,3955,0.1429,1
10393,304,0.1429,1
70,991,0.1429,1
70,3531,0.1429,1
4825,4575,0.1429,1
5645,4682,0.1429,1
529,10393,0.1429,1
1683,3955,0.1429,1
530,72,0.1429,1
530,10393,0.1429,1
4097,1427,0.1429,1
4097,531,0.1429,1
1622,966,0.1429,1
51,1291,0.1429,1
4097,2,0.1429,1
530,991,0.1429,1
5777,763,0.1429,1
613,1800,0.1429,1
4097,1264,0.1429,1
1265,4506,0.1422,2
17027,7069,0.1339,2
2307,966,0.1329,2
2320,966,0.1329,2
1038,2320,0.1319,2
17027,920,0.1303,2
10393,991,0.1296,2
2611,17027,0.1255,2
2611,789,0.1255,2
1058,1063,0.125,2
1058,480,0.125,2
2336,1885,0.125,1
304,4021,0.125,1
706,4021,0.125,1
6207,2138,0.125,1
2307,3535,0.125,1
3608,3737,0.125,1
1622,2294,0.125,1
35,652,0.125,1
529,3318,0.125,1
2213,920,0.125,1
530,3318,0.125,1
3608,6207,0.125,1
549,647,0.125,1
647,10393,0.125,1
35,3737,0.125,1
3318,304,0.125,1
622,647,0.125,1
4707,3318,0.125,1
1787,920,0.125,1
6207,3737,0.125,1
6207,789,0.125,1
6207,1787,0.125,1
206,3531,0.125,1
4707,1683,0.125,1
3737,206,0.125,1
683,2336,0.125,1
531,706,0.125,1
529,4021,0.125,1
3608,920,0.125,1
2640,1451,0.125,1
10393,3531,0.125,1
2638,2640,0.125,1
1860,436,0.1232,2
2320,2381,0.1208,2
2607,1787,0.1207,3
551,2871,0.1151,2
17027,1451,0.1125,2
2816,2381,0.1117,2
14480,2871,0.1115,2
2,3699,0.1111,1
2433,3018,0.1111,1
55,17027,0.1111,1
2,1885,0.1111,1
2,530,0.1111,1
532,276,0.1111,1
2607,2320,0.1111,1
